Parameter,Address,Value
Country_code,797,
AC_terminal,48158,
Grid_Setting,,
U_High_off,33552,
U_High_off_Time,33553,
U_High_on,33554,
U_High_off_Slow,33558,
U_High_off_Slow_Time,33559,
U_High_on_Slow,33560,
U_Low_off,33555,
U_Low_off_Time,33556,
U_Low_on,33557,
U_Low_off_Slow,33561,
U_Low_off_Slow_Time,33562,
U_Low_on_Slow,33563,
F_High_off,33568,
F_High_off_Time,33569,
F_High_on,33570,
F_High_off_Slow,33610,
F_High_off_Slow_Time,33611,
F_High_on_Slow,33612,
F_Low_off,33571,
F_Low_off_Time,33572,
F_Low_on,33573,
F_Low_off_Slow,33613,
F_Low_off_Slow_Time,33614,
F_Low_on_Slow,33615,
U_High_off_Slow_2,48176,
U_High_off_Slow_Time_2,48177,
U_High_on_Slow_2,48178,
U_Low_off_Slow_2,48179,
U_Low_off_Slow_Time_2,48180,
U_Low_on_Slow_2,48181,
Reactive_Power,,
Reactive_Mode,33616,
Fixed_cos£p,33617,
Fixed_Q(%),33624,
Response_Time,33633,
Active_Power,,
PowerManage_Mode,798,
Power_Manage(%),799,
Ramp_Up_Power(%) ,864,
Active_Power_Slope,48514,
P(F)Control,,
P-F_Control_Mode,848,
Gradient(%),849,
Freq_Start,850,
Freq_Stop,851,
Freq_Rec,852,
Ramp_Up_Recover_Time,865,
cos(£p)_of_P_Ctrl,,
cos(£p)_Upper,33619,
cos(£p)_Lower,33620,
cos(£p)_Upper(P1),33622,
cos(£p)_Lower(P2),33621,
cos(£p)_Upper,48796,
cos(£p)_Lower,48797,
Q(U)Ctrl,,
Q_Vmax,33626,
Q_Vmin,33627,
Vmax,33629,
Vmin,33628,
Upper(V2),33631,
Lower(V1),33630,
Lock-in_Power,33636,
Lock-out_Power,33637,
Hysteresis,33632,
FRT(LVFR),,
FRT(LVFR)_Mode,853,
T1_Time,854,
T2_Time,858,
T3_Time,859,
Dead_Band_Umin,857,
Dead_Band_Umax,860,
U1,856,
K_Factor,861,
Uac_Fault(Vdrop),855,
P(U)Function,,
P(U)_Function_Mode,880,
Recovery_Time(s),881,
Lockin_Power(%),882,
Lockout_Power(%),883,
Lockin_Voltage(Vac),884,
Lockout_Voltage(Vac),885,
Stop_Voltage(Vac),48551,
Q_setting24/7,,
Const.Q_Percent(Q_24/7),48799,
Q(U)_Upper_limit(Q_24/7),48806,
Q(U)_Lower_limit(Q_24/7),48807,
Q(U)_Vmin(Q_24/7),48808,
Q(U)_Vmax(Q_24/7),48809,
Q(U)_V1(Q_24/7),48810,
Q(U)_V2(Q_24/7),48811,
Q(U)_P_Lock_in(Q_24/7),48812,
Q(U)_P_Lock_out(Q_24/7),48813,
Q(U)_Reponse_Delay(Q_24/7),48815,
