Parameter,Address,Value
Country_code,797,29
AC_terminal,48158,B4
Grid_Setting,,
U_High_off,33552,2760
U_High_off_Time,33553,10
U_High_on,33554,2590
U_High_off_Slow,33558,2760
U_High_off_Slow_Time,33559,60000
U_High_on_Slow,33560,2590
U_Low_off,33555,1040
U_Low_off_Time,33556,30
U_Low_on,33557,2190
U_Low_off_Slow,33561,1840
U_Low_off_Slow_Time,33562,100
U_Low_on_Slow,33563,2190
F_High_off,33568,5150
F_High_off_Time,33569,10
F_High_on,33570,5005
F_High_off_Slow,33610,6500
F_High_off_Slow_Time,33611,500
F_High_on_Slow,33612,6495
F_Low_off,33571,4750
F_Low_off_Time,33572,10
F_Low_on,33573,4755
F_Low_off_Slow,33613,4500
F_Low_off_Slow_Time,33614,500
F_Low_on_Slow,33615,4505
U_High_off_Slow_2,48176,0
U_High_off_Slow_Time_2,48177,0
U_High_on_Slow_2,48178,0
U_Low_off_Slow_2,48179,0
U_Low_off_Slow_Time_2,48180,0
U_Low_on_Slow_2,48181,0
Reactive_Power,,
Reactive_Mode,33616,0
Fixed_cos£p,33617,65436
Fixed_Q(%),33624,0
Response_Time,33633,1000
Active_Power,,
PowerManage_Mode,798,0
Power_Manage(%),799,100
Ramp_Up_Power(%),864,10
Active_Power_Slope,48514,60
P(F)Control,,
P-F_Control_Mode,848,2
Gradient(%),849,40
Freq_Start,850,5020
Freq_Stop,851,5270
Freq_Rec,852,5005
Ramp_Up_Recover_Time,865,0
cos(£p)_of_P_Ctrl,,
cos(£p)_Upper,33619,65441
cos(£p)_Lower,33620,95
cos(£p)_Upper(P1),33622,80
cos(£p)_Lower(P2),33621,0
cos(£p)_Upper,48796,64586
cos(£p)_Lower,48797,950
Q(U)Ctrl,,
Q_Vmax,33626,65492
Q_Vmin,33627,44
Vmax,33629,2530
Vmin,33628,1840
Upper(V2),33631,2300
Lower(V1),33630,2300
Lock-in_Power,33636,0
Lock-out_Power,33637,0
Hysteresis,33632,0
FRT(LVFR),,
FRT(LVFR)_Mode,853,1
T1_Time,854,20
T2_Time,858,300
T3_Time,859,300
Dead_Band_Umin,857,90
Dead_Band_Umax,860,110
U1,856,20
K_Factor,861,20
Uac_Fault(Vdrop),855,0
P(U)Function,,
P(U)_Function_Mode,880,0
Recovery_Time(s),881,300
Lockin_Power(%),882,20
Lockout_Power(%),883,5
Lockin_Voltage(Vac),884,2530
Lockout_Voltage(Vac),885,2484
Stop_Voltage(Vac),48551,0
Q_setting24/7,,
Const.Q_Percent(Q_24/7),48799,0
Q(U)_Upper_limit(Q_24/7),48806,65492
Q(U)_Lower_limit(Q_24/7),48807,44
Q(U)_Vmin(Q_24/7),48808,1840
Q(U)_Vmax(Q_24/7),48809,2530
Q(U)_V1(Q_24/7),48810,2300
Q(U)_V2(Q_24/7),48811,2300
Q(U)_P_Lock_in(Q_24/7),48812,0
Q(U)_P_Lock_out(Q_24/7),48813,0
Q(U)_Reponse_Delay(Q_24/7),48815,1000
